#OTU ID,H11,H12,H8,H13,H2,H15,H7
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales];f__[Chthoniobacteraceae];g__DA101,3.08E-02,0.189384041,0.19683261,0.06945119,0.266031642,0.072558898,0.068320215
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__,0.06138753,0.094984297,0.050485821,0.092695313,0.032821061,0.088310304,0.076315244
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes,3.46E-02,0.034087523,0.028037064,0.044698926,0.043107646,4.41E-02,3.85E-02
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__,7.82E-03,2.18E-02,3.86E-02,9.65E-03,0.085083767,1.44E-02,1.67E-02
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Koribacteraceae;g__,0.0030967,0.025789148,0.047749666,0.003459353,0.077540272,0.001442398,0.010967274
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter,0.036102148,4.55E-03,5.36E-03,5.64E-02,0.002489353,3.96E-02,4.82E-02
k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__,0.009298775,4.38E-02,0.034464642,0.009900906,0.033191378,0.010253569,0.016725352
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium,0.000563825,1.15E-05,4.09E-05,4.26E-05,2.74E-05,3.14E-05,0.000176056
k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513;f__;g__,0.000338295,0.051177131,0.039104506,0.000349343,0.075112638,0.000125426,0.001190969
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__,2.76E-02,1.45E-02,0.016157646,0.030537733,2.44E-02,0.011194264,2.79E-02
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41;f__;g__,0.021477395,0.020631318,0.032008243,0.065080136,0.00162528,0.010096787,0.029070008
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__,2.19E-03,0.031199138,0.042604875,0.004592589,0.042037841,0.012208123,0.008026098
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__,0.017626037,0.00851615,0.017385846,0.002939598,0.007701223,2.00E-02,0.018589478
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__;g__,0.04166233,0.001249341,0.006263817,0.007251008,3.77E-03,0.028795702,0.026128832
